Age,Gender,Education Level,Marital Status,Income,Credit Score,Loan Amount,Loan Purpose,Employment Status,Years at Current Job,Payment History,Debt-to-Income Ratio,Assets Value,Number of Dependents,City,State,Country,Previous Defaults,Marital Status Change,Risk Rating
60,Male,PhD,Married,114018,636,28620,Business,Employed,1,Excellent,0.261044262,38980,3,West Kaylee,CO,Liberia,1,1,Medium
35,Female,PhD,Single,39629,622,9537,Home,Unemployed,2,Fair,0.524358189,48636,1,Desireeville,DC,Sao Tome and Principe,4,0,Low
66,Female,High School,Single,61291,639,7908,Personal,Unemployed,12,Poor,0.168999693,33810,1,Port David,WA,Mayotte,3,2,Low
46,Female,Master's,Married,34284,775,26340,Personal,Self-employed,14,Fair,0.400353991,64156,4,New Melissamouth,NV,Wallis and Futuna,0,2,Medium
28,Non-binary,Bachelor's,Divorced,98311,689,34763,Business,Employed,8,Excellent,0.388665461,216062,0,West Deanna,TN,India,3,2,Low
67,Male,Bachelor's,Widowed,63148,660,16704,Auto,Self-employed,0,Fair,0.334344621,40643,0,Kimberlychester,TX,Tajikistan,4,2,Low
28,Male,Bachelor's,Single,94693,718,20928,Business,Unemployed,5,Fair,0.323849811,257028,2,Josephstad,MP,Georgia,4,2,Low
27,Male,High School,Single,88173,746,14800,Personal,Self-employed,8,Fair,0.538712246,289092,0,South Susanfurt,KY,Congo,1,1,Low
34,Non-binary,High School,Married,70807,745,39572,Business,Employed,18,Good,0.433975274,130451,3,South Audrey,MP,Saint Lucia,4,0,Low
38,Female,High School,Divorced,99314,656,17158,Personal,Self-employed,8,Excellent,0.123889568,162247,4,Diazview,GU,Yemen,2,1,Low
48,Male,Bachelor's,Single,25465,671,36672,Auto,Self-employed,8,Fair,0.255003057,237546,4,Markville,PA,Romania,1,1,Medium
40,Female,High School,Widowed,104766,688,35808,Business,Employed,15,Poor,0.320768316,198067,1,West Scottshire,MS,Falkland Islands (Malvinas),4,1,High
69,Female,Master's,Divorced,118995,787,14398,Auto,Employed,15,Good,0.488273727,148047,0,Clarkborough,DE,Bermuda,3,1,Medium
31,Non-binary,High School,Widowed,63322,773,8074,Business,Employed,5,Fair,0.381467098,267802,3,Port Michaelmouth,ID,Romania,1,0,High
43,Female,Master's,Single,34821,775,22889,Personal,Unemployed,18,Good,0.11872158,278194,0,Lake James,MD,Niue,3,2,High
18,Non-binary,High School,Widowed,99671,669,30460,Personal,Unemployed,18,Poor,0.433812231,25531,1,Jacquelineborough,MP,Greece,1,1,Medium
56,Male,High School,Widowed,73953,710,42364,Home,Self-employed,1,Good,0.555770849,152625,1,North Michael,NY,United States Minor Outlying Islands,2,2,Medium
53,Female,PhD,Divorced,88669,720,17468,Home,Self-employed,6,Excellent,0.575977216,199129,0,West Daniel,NE,Japan,4,1,Low
33,Non-binary,Bachelor's,Single,46953,627,23284,Business,Self-employed,7,Good,0.233152718,192563,3,West Michelle,VA,Monaco,0,1,Medium
41,Female,High School,Married,89852,676,27422,Home,Self-employed,9,Excellent,0.486273411,205004,1,Loweryland,VT,Tonga,4,0,Low
62,Male,PhD,Divorced,87384,606,7297,Business,Self-employed,4,Good,0.450293387,232491,3,West Melanieton,MH,Taiwan,0,0,Low
32,Female,Bachelor's,Married,78360,608,47644,Home,Unemployed,1,Fair,0.112276192,271432,3,East Veronica,KY,Tajikistan,4,0,Low
30,Non-binary,Master's,Married,55059,756,7413,Personal,Employed,5,Good,0.494801779,29295,4,Walkerborough,WA,Tunisia,0,2,Low
59,Female,Master's,Married,77564,612,12357,Business,Employed,1,Good,0.453394498,111458,0,Tylerport,DE,Marshall Islands,2,1,Medium
66,Male,Master's,Divorced,64764,600,25486,Auto,Employed,17,Good,0.454795899,79556,1,New Latashabury,AZ,Reunion,1,0,Medium
32,Female,High School,Widowed,118580,636,13116,Home,Self-employed,7,Fair,0.120713199,267284,3,Savannahfurt,NC,Mauritius,0,1,Low
20,Female,High School,Married,41961,612,30866,Auto,Employed,11,Excellent,0.300160555,294593,0,Port Kentberg,CO,Brunei Darussalam,2,1,Low
35,Female,Master's,Divorced,84766,622,20645,Business,Unemployed,6,Fair,0.507552882,77868,3,Blackwellchester,AR,Cote d'Ivoire,1,1,Medium
36,Non-binary,Master's,Divorced,44448,631,30975,Auto,Self-employed,18,Good,0.194279933,130657,2,South Matthewmouth,MP,Bhutan,3,1,High
68,Female,High School,Single,113923,601,44653,Auto,Employed,1,Good,0.270090609,263788,2,New Lindsay,OH,Mayotte,2,2,High
28,Male,Bachelor's,Single,83969,671,44332,Business,Employed,16,Fair,0.45700939,88597,0,Julieborough,FM,United States of America,2,2,Low
66,Non-binary,PhD,Divorced,111109,664,16734,Auto,Unemployed,0,Fair,0.201180173,246188,0,Port Frank,RI,Grenada,2,2,High
36,Female,PhD,Widowed,52548,766,8458,Auto,Employed,11,Fair,0.240513252,62171,1,Simsfurt,WI,Falkland Islands (Malvinas),3,1,Low
56,Non-binary,High School,Divorced,36600,724,26718,Business,Unemployed,17,Excellent,0.179215904,34116,4,Henrystad,PR,Libyan Arab Jamahiriya,4,0,Low
46,Male,PhD,Married,37986,741,5217,Personal,Unemployed,11,Excellent,0.24326904,24766,4,North Stephanie,LA,Saint Lucia,2,2,Medium
27,Female,Bachelor's,Single,55423,785,10956,Personal,Employed,7,Fair,0.3365854,73141,4,Port Lindseyfort,MO,Saint Kitts and Nevis,1,1,Medium
68,Non-binary,High School,Widowed,107151,754,39626,Business,Employed,13,Fair,0.302066201,147103,1,South Aprilbury,TX,Equatorial Guinea,2,2,Low
54,Male,High School,Married,23794,754,42272,Personal,Unemployed,5,Good,0.534887509,273159,4,Mannmouth,MT,Angola,3,2,High
63,Male,Bachelor's,Divorced,117980,750,34913,Auto,Employed,14,Fair,0.31971399,79180,4,Higginsport,IN,Myanmar,4,0,Medium
19,Male,PhD,Married,105783,649,34842,Home,Unemployed,14,Excellent,0.17893033,169091,4,North Lisa,PW,Serbia,3,0,High
66,Male,Bachelor's,Divorced,79893,641,8341,Personal,Employed,5,Excellent,0.18669614,213287,4,Amberfort,VI,Oman,4,0,Medium
66,Non-binary,Bachelor's,Divorced,21299,621,14131,Personal,Self-employed,17,Good,0.495208685,272640,2,Karenborough,AL,Niger,2,0,Low
65,Male,Bachelor's,Divorced,82713,658,15995,Home,Employed,2,Excellent,0.333555884,77072,2,Erinchester,NJ,Andorra,1,2,Low
59,Male,High School,Divorced,37373,743,12455,Home,Employed,9,Poor,0.303733068,166261,2,Lake Kelsey,AL,Chile,1,1,Low
47,Male,High School,Divorced,52577,625,33975,Home,Employed,7,Poor,0.257840383,190682,2,Port Randalltown,VA,Korea,2,0,Low
38,Non-binary,Master's,Single,52903,736,37009,Personal,Unemployed,19,Good,0.472939031,291166,2,West Carla,TX,Portugal,0,0,Medium
39,Female,Bachelor's,Widowed,36489,609,7961,Auto,Self-employed,9,Excellent,0.591416431,181869,2,South Lisa,ID,Mayotte,4,2,Low
23,Male,High School,Married,83853,712,11358,Business,Employed,7,Good,0.587184535,166988,3,Lake Vincent,PR,Luxembourg,2,1,Low
38,Non-binary,PhD,Married,104614,648,40992,Home,Unemployed,2,Fair,0.321351019,166986,3,New Shawnborough,HI,Guatemala,3,1,High
32,Male,Master's,Married,99211,631,44886,Personal,Unemployed,3,Fair,0.221320316,123213,1,New Dylan,SD,Rwanda,4,1,High
58,Non-binary,High School,Divorced,82583,768,30366,Home,Self-employed,9,Poor,0.576255603,119096,2,Lake Andrewmouth,PR,Algeria,4,0,Low
18,Male,Master's,Widowed,84162,606,5015,Business,Self-employed,17,Poor,0.389069671,275773,1,Amandamouth,KS,Cambodia,1,2,Low
61,Female,Bachelor's,Single,25702,650,31654,Auto,Employed,15,Excellent,0.161250745,149488,0,South Jessicafurt,WA,Christmas Island,1,2,Low
21,Female,Bachelor's,Single,23582,736,19309,Personal,Unemployed,2,Good,0.464172349,229415,4,West Jennifer,OK,Romania,3,2,Low
27,Male,Master's,Single,114452,668,36683,Auto,Self-employed,2,Poor,0.382632935,191602,4,Herrerastad,WA,French Guiana,0,2,Low
33,Male,Bachelor's,Single,22170,686,44357,Personal,Self-employed,18,Good,0.341188468,87943,4,South Justinshire,ID,Martinique,0,0,High
56,Non-binary,Master's,Married,35299,625,24860,Home,Employed,7,Poor,0.574404363,229939,3,Lake Stephanieborough,OR,Oman,0,1,Low
57,Female,High School,Divorced,59015,774,36334,Personal,Unemployed,16,Excellent,0.263724816,50529,3,Walkermouth,PW,Singapore,0,2,Low
37,Non-binary,PhD,Single,74337,630,17919,Auto,Employed,5,Fair,0.520813764,219321,4,Lindsaymouth,OK,Turkey,0,1,Low
23,Non-binary,Bachelor's,Divorced,47684,742,42901,Home,Employed,16,Fair,0.277608708,78032,4,Brownfurt,IL,Portugal,3,2,Low
47,Male,Bachelor's,Married,111352,688,15044,Auto,Self-employed,3,Excellent,0.290150955,283782,2,Thomaschester,ME,Sierra Leone,2,1,Low
48,Male,PhD,Widowed,106151,626,34164,Auto,Unemployed,10,Good,0.599709538,22135,0,South Renee,SC,Kenya,2,2,Low
24,Male,Bachelor's,Married,94667,768,26118,Home,Self-employed,13,Good,0.426268032,104282,1,Vanessaton,HI,Papua New Guinea,2,0,Low
49,Female,High School,Divorced,49870,625,29285,Home,Self-employed,7,Poor,0.110209775,187903,2,Wattsview,CT,Moldova,4,0,Low
54,Female,Bachelor's,Married,74240,633,11854,Business,Unemployed,5,Good,0.351534961,76783,1,Lake Natalie,FM,Poland,4,2,Low
39,Female,Bachelor's,Divorced,81517,711,32838,Business,Employed,19,Fair,0.437870492,148754,4,South Whitneyview,NY,Argentina,3,1,Low
23,Non-binary,Bachelor's,Single,34319,640,35058,Home,Unemployed,18,Poor,0.406965843,37907,2,Rhodesmouth,DE,Saint Vincent and the Grenadines,3,1,Low
54,Male,Bachelor's,Single,60753,778,25200,Personal,Unemployed,12,Good,0.27287163,219389,2,West Anthonyberg,IN,Senegal,3,2,High
35,Non-binary,Master's,Married,56734,761,46826,Personal,Unemployed,15,Excellent,0.387846098,238379,1,Port Patrickberg,IL,Italy,1,0,Low
21,Female,PhD,Married,58918,618,22165,Home,Employed,0,Good,0.381804389,222403,3,New Christopherland,IL,Slovakia (Slovak Republic),2,2,Medium
51,Female,Master's,Widowed,47685,718,23891,Home,Unemployed,0,Poor,0.201201682,112966,4,Johnton,KY,British Indian Ocean Territory (Chagos Archipelago),2,2,Low
32,Male,High School,Single,118835,722,11982,Business,Unemployed,5,Good,0.37965399,209403,1,North Amy,WI,French Guiana,2,1,Medium
42,Non-binary,PhD,Divorced,37540,672,6724,Auto,Self-employed,16,Poor,0.106682376,217834,0,Schmidtbury,AL,San Marino,2,0,Low
20,Non-binary,Master's,Widowed,103984,611,5350,Personal,Unemployed,4,Good,0.591137633,203201,1,East Matthew,TX,Turkey,0,1,Low
63,Non-binary,High School,Divorced,24435,696,49852,Personal,Unemployed,12,Poor,0.374582186,173878,1,Hortonstad,WY,Indonesia,1,2,Low
67,Non-binary,High School,Married,27131,605,9171,Home,Employed,14,Excellent,0.492692486,274572,1,Caseville,NH,Tonga,0,2,Medium
31,Female,Bachelor's,Married,105924,738,41443,Business,Unemployed,15,Fair,0.208205649,243582,1,Greenefurt,OK,Norfolk Island,3,1,Low
68,Female,High School,Widowed,63130,705,25293,Business,Employed,7,Fair,0.193760999,30506,2,Davemouth,WY,Jersey,1,1,Low
64,Male,Master's,Widowed,49367,772,12840,Auto,Employed,11,Fair,0.461116857,249394,0,Alexanderview,SC,Trinidad and Tobago,3,0,Medium
21,Male,Master's,Widowed,80200,796,47587,Home,Employed,17,Good,0.280799725,129205,3,East Charleshaven,KY,Aruba,1,2,Low
44,Male,Bachelor's,Single,107988,761,48101,Personal,Self-employed,10,Excellent,0.115234753,293530,3,Frankstad,MN,Wallis and Futuna,2,1,Low
32,Female,Bachelor's,Single,22919,662,37477,Business,Employed,11,Excellent,0.259245786,114916,4,Oscarside,UT,Afghanistan,3,2,Low
69,Female,PhD,Single,89529,636,11861,Business,Self-employed,2,Excellent,0.278411856,214415,0,South Ashley,RI,Vietnam,2,2,High
18,Male,PhD,Married,80378,639,31920,Business,Employed,11,Good,0.124848541,214743,3,South Amymouth,IA,Macao,3,0,Medium
53,Male,Bachelor's,Widowed,115637,759,38288,Personal,Unemployed,18,Good,0.460293038,80877,0,Bakerview,NE,Antigua and Barbuda,3,1,Medium
55,Male,PhD,Divorced,52919,699,47283,Home,Employed,14,Good,0.523999475,299435,4,Johnsonton,RI,Guinea,0,0,High
33,Male,High School,Widowed,83303,712,23883,Business,Unemployed,4,Poor,0.41075184,117508,1,Ashleeshire,DC,New Caledonia,4,0,Low
28,Female,High School,Single,109624,771,16036,Personal,Self-employed,1,Good,0.152826692,95754,2,Port Laura,CA,Marshall Islands,3,2,Medium
67,Male,Bachelor's,Divorced,48223,606,15318,Business,Employed,13,Poor,0.350578947,214246,4,Shawnview,DC,Georgia,1,2,Low
45,Female,Master's,Widowed,100821,608,25392,Home,Unemployed,9,Good,0.186020749,186780,4,Paulside,AZ,Bangladesh,2,2,Low
62,Non-binary,PhD,Married,71726,658,27097,Business,Unemployed,12,Excellent,0.554995048,123775,0,New Alexanderport,KS,Pitcairn Islands,1,2,Low
54,Non-binary,PhD,Divorced,111760,707,36786,Auto,Employed,17,Good,0.126646749,52120,0,Angelaburgh,KS,Luxembourg,4,2,Medium
51,Male,High School,Married,107171,763,45955,Auto,Self-employed,8,Poor,0.502590674,258221,1,Wendyland,NE,Kuwait,1,1,Low
51,Male,PhD,Married,36756,646,39884,Business,Employed,16,Excellent,0.244589366,68595,2,New Stephanieville,VT,Sweden,3,0,Low
21,Non-binary,PhD,Single,106940,721,43381,Home,Self-employed,13,Excellent,0.468084508,68461,1,Ruthland,FM,Saint Lucia,0,2,Low
32,Female,PhD,Married,36150,614,47080,Home,Unemployed,3,Fair,0.383432349,280243,0,Kariville,NJ,Mauritania,4,2,Medium
45,Male,Master's,Widowed,22751,776,48368,Home,Employed,7,Fair,0.18131963,139323,4,Lake Heather,CT,Panama,2,0,Medium
41,Male,PhD,Single,114897,724,33782,Auto,Employed,19,Poor,0.100727342,203813,2,Lake Joshua,PR,Afghanistan,0,2,Low
25,Male,Master's,Married,102176,604,28933,Personal,Employed,8,Good,0.468058725,140628,4,Robinport,ME,Oman,1,1,Medium
68,Non-binary,PhD,Single,94676,709,27727,Personal,Unemployed,7,Excellent,0.37040874,233292,1,South Kristen,CA,Venezuela,2,1,Low
37,Non-binary,Master's,Married,83474,779,37611,Personal,Unemployed,2,Fair,0.250502633,177110,3,Rossfurt,AL,Trinidad and Tobago,1,1,Low
52,Female,Bachelor's,Single,110341,707,32742,Personal,Unemployed,9,Excellent,0.487182226,206337,3,West Josephfurt,DC,Bolivia,2,1,Medium
48,Female,High School,Married,72563,756,15115,Business,Employed,12,Poor,0.45234732,135455,3,Colemanville,NC,Benin,1,1,Medium
22,Male,Bachelor's,Widowed,117552,669,34394,Home,Unemployed,18,Fair,0.392459515,227939,1,Newmanville,WY,Guernsey,0,1,Low
